,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
224,ramon delgado,R,185.0,2.0,0.0,0.36102320675105487,0.1111111111111111,0.07692307692307693,0.14285714285714285,0.4722222222222222,0.6125,60.0,0.5295454545454545,131.0,332.0,,,,,
226,guillermo canas,R,185.0,33.0,22.0,0.43561528467793936,0.3430984840075749,0.4540185403821767,0.6186191556512413,0.8053964273661245,0.6010134643630703,82.75757575757575,0.6407716955860906,102.0,415.0,207.4,0.613,0.45,0.375,0.636
227,marat safin,R,193.0,36.0,25.0,0.40095473691126404,0.2870515310485477,0.3967096560846561,0.5699946658279993,0.8222382210174863,0.5829701342629128,63.166666666666664,0.6595669585641594,12.0,1730.0,241.4,0.629,0.396,0.667,0.722
228,mariano puerta,L,180.0,60.0,35.0,0.3645346760532642,0.22328835108246878,0.3843922743922743,0.560491942125069,0.7888551226527567,0.670657130732047,72.56666666666666,0.6498129799745576,56.0,628.0,225.2,0.606,0.406,0.55,0.69
229,sebastien grosjean,R,175.0,51.0,30.0,0.38755834214873897,0.2534537777404234,0.43861289613884774,0.5513054755701815,0.80391333901376,0.5616624580108859,54.0,0.646029227150347,25.0,1135.0,224.5,0.601,0.44,0.579,0.625
235,lleyton hewitt,R,180.0,43.0,35.0,0.41304566509159985,0.31048625383224704,0.44616690499043427,0.6137345212926609,0.8588535221788158,0.5640520121781167,51.95348837209303,0.6807744727304305,4.0,2490.0,263.1,0.635,0.413,1.0,0.583
236,stefan koubek,L,175.0,19.0,5.0,0.36254211998026714,0.19733288154340786,0.4206140350877194,0.5668203485540947,0.6761622690130104,0.5960112543490125,106.63157894736842,0.5730176487855941,182.0,215.0,,,,,
238,rainer schuettler,R,180.0,40.0,16.0,0.38261090176154533,0.24702790673378913,0.40638125763125765,0.5194475298093719,0.672240186284304,0.5883201100732969,93.125,0.5836171989816403,88.0,463.0,189.6,0.5539999999999999,0.42100000000000004,0.33299999999999996,0.588
239,cecil mamiit,R,173.0,1.0,0.0,0.2708333333333333,0.0,0.0,0.0,0.7777777777777778,0.6551724137931034,93.0,0.6206896551724138,209.0,177.0,,,,,
240,alberto martin,R,175.0,54.0,25.0,0.40663953545981724,0.2877069445041618,0.4305956903179125,0.5608892136669914,0.7088380354187402,0.5369114612682651,67.9074074074074,0.5924082579617642,50.0,711.0,217.3,0.597,0.384,0.6920000000000001,0.5
241,gaston gaudio,R,175.0,76.0,55.0,0.43667066066335886,0.3573432963235593,0.44269709693471293,0.6003324161218897,0.7646061036057165,0.6224236930108388,65.17105263157895,0.621503575788986,10.0,2050.0,230.1,0.628,0.42200000000000004,0.727,0.524
244,juan carlos ferrero,R,183.0,71.0,45.0,0.4011189618198665,0.2755176207848122,0.3947840891502862,0.6196284544876093,0.7951911073274532,0.6656438673094038,57.16901408450704,0.6403202551443675,17.0,1500.0,220.5,0.6409999999999999,0.395,0.583,0.586
