,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,rang
384,boris pashanski,R,180.0,15.0,8.0,0.3923147859003182,0.27848540348540346,0.5018975468975468,0.446547619047619,0.7187656787656789,0.6074158829498317,81.46666666666667,0.6061823543495074,,,,,,96.0
388,marc gicquel,R,188.0,47.0,21.0,0.3475377866833342,0.17569333981153107,0.35834602749496364,0.5558315797677501,0.7926786837680891,0.579740699966888,72.85106382978724,0.6378940033094732,131.5,0.26899999999999996,0.479,0.183,0.384,70.0
391,alejandro falla,L,185.0,23.0,9.0,0.3763422889281094,0.2256930267799833,0.4714361725231291,0.5647574044313175,0.7387882648752214,0.6194035832791879,46.34782608695652,0.6185170048372308,,,,,,81.0
392,evgeny korolev,R,185.0,45.0,20.0,0.3474050049228305,0.18926763323822143,0.36973002306335634,0.5236831686831687,0.6981828331436174,0.5748948766363666,57.0,0.5884134266443747,139.1,0.27899999999999997,0.488,0.204,0.42,80.0
396,mischa zverev,L,190.0,12.0,4.0,0.3732204031776467,0.2252270877270877,0.381547619047619,0.4986263736263736,0.7163396788396788,0.6118431387489626,51.916666666666664,0.6060977959054535,,,,,,88.0
397,sam querrey,R,198.0,43.0,20.0,0.33943076193109495,0.18420772433585977,0.36152206966160455,0.5347010938198209,0.8233060928719362,0.5663060931661117,70.86046511627907,0.6565880566415676,126.9,0.272,0.44,0.168,0.389,63.0
399,martin vassallo arguello,R,183.0,30.0,11.0,0.36372462533799593,0.22471435971435966,0.40503399378399385,0.4491008991008991,0.6589442501942501,0.6705534934140212,100.73333333333333,0.5836117497896877,147.7,0.313,0.512,0.25,0.402,74.0
400,diego hartfield,R,185.0,30.0,13.0,0.36576906834215894,0.20856318082788675,0.3909687729424572,0.5749387746756169,0.7413517747999845,0.6468440061296913,75.46666666666667,0.6009366913440585,138.7,0.305,0.49,0.218,0.374,89.0
401,sergio roitman,R,185.0,33.0,9.0,0.36415361674502256,0.2228578017348071,0.41995933359569715,0.5486271304453123,0.6811846204894334,0.6448155174219351,78.63636363636364,0.5761019009419764,145.2,0.293,0.503,0.233,0.423,69.0
403,ernests gulbis,R,190.0,22.0,7.0,0.3376130540094848,0.18339670949965067,0.36596638655462177,0.7110836764245856,0.7951913134399767,0.6316826001376656,66.0,0.6389570807670003,,,,,,61.0
404,chris guccione,L,201.0,25.0,9.0,0.2826598005438515,0.0772288260758849,0.24219191919191918,0.6023953823953824,0.8753782123865017,0.5852919183266457,75.96,0.6857881849759103,,,,,,91.0
406,michael berrer,L,193.0,25.0,13.0,0.3451154099036166,0.19317263781969662,0.4692136752136753,0.6026551226551227,0.82872027972028,0.6281432760059817,99.28,0.6714154316597815,,,,,,57.0
407,simone bolelli,R,183.0,23.0,8.0,0.2975781873617452,0.11552242869378418,0.4045070871157828,0.4888998682476943,0.7749215760085325,0.6555383430873344,82.8695652173913,0.6300816662975696,,,,,,67.0
408,peter luczak,R,183.0,9.0,3.0,0.3229055564497053,0.1336387831485871,0.3662818662818663,0.7034391534391535,0.7648733365400031,0.5922476870366801,60.111111111111114,0.6144161176186631,,,,,,79.0
409,jo-wilfried tsonga,R,188.0,27.0,17.0,0.3570662474464211,0.20694072025771373,0.39428390539501657,0.5351851851851852,0.830503217431322,0.6452930348187592,55.666666666666664,0.6778524237189246,,,,,,43.0
414,steve darcis,R,178.0,9.0,6.0,0.4104836287062284,0.3088919069311226,0.4504002170668838,0.50496632996633,0.7770658535364418,0.5828080654877641,40.77777777777778,0.6352866676411647,,,,,,86.0
415,fabio fognini,R,178.0,8.0,2.0,0.32834726078054577,0.21125846171802057,0.3504464285714286,0.4811078219166454,0.5873161764705882,0.526016177042588,40.625,0.5308618155719639,,,,,,95.0
416,marin cilic,R,198.0,18.0,9.0,0.365960094982527,0.2250396517063184,0.38472222222222224,0.6022842897842897,0.7723189464856133,0.528331076519817,49.388888888888886,0.61962099479399,,,,,,71.0
420,dudi sela,R,175.0,8.0,4.0,0.41507974218725424,0.2887905661589872,0.37118999421631,0.45678904428904427,0.714099953409164,0.6305271856900109,45.125,0.6119768192211512,,,,,,64.0
422,donald young,L,183.0,5.0,2.0,0.37140034442128156,0.18913951545530497,0.3386868686868687,0.6338383838383839,0.7758730158730158,0.5599691390203725,53.2,0.631330358446108,,,,,,100.0
