,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
582,maximilian marterer,L,191.0,2.0,2.0,0.4865560640732265,0.4034090909090909,0.6071428571428572,0.625,0.8434343434343434,0.6083437110834371,59.0,0.6469489414694893,209.0,300.0,,,,,,,,,,
584,roberto carballes baena,R,183.0,13.0,6.0,0.3719051683698442,0.2452203779126856,0.32547452547452543,0.5422882672882673,0.6193108173877404,0.658277085763181,70.6923076923077,0.564217730832167,97.0,731.0,,,,,,,,,,
585,mirza basic,R,188.0,1.0,0.0,0.2909090909090909,0.09999999999999998,0.5,0.5,0.6,0.6911764705882353,98.0,0.5735294117647058,326.0,134.0,,,,,,,,,,
586,matteo berrettini,R,196.0,15.0,9.0,0.35778779066525707,0.2005319230706227,0.301948051948052,0.6482010582010582,0.9105993490513615,0.6192908436671046,85.2,0.7234326827978688,10.0,3075.0,,,,,,,,,,
587,cameron norrie,L,188.0,21.0,8.0,0.35395728012714733,0.21183389352533444,0.45836217622306413,0.5553780434732816,0.72054156115941,0.6452174350480407,132.47619047619048,0.6084644359005387,71.0,877.0,143.3,0.302,0.48700000000000004,0.233,0.41100000000000003,171.2,0.602,0.41100000000000003,0.556,0.14300000000000002
588,alex de minaur,R,183.0,23.0,13.0,0.3937297252726187,0.2645161388767526,0.45193622802318467,0.5818057546318416,0.7701289013629166,0.6182050233259971,50.17391304347826,0.6304361949256426,23.0,1860.0,152.0,0.316,0.527,0.248,0.429,193.0,0.617,0.429,0.455,0.429
589,jaume munar,R,183.0,11.0,3.0,0.3875136401616322,0.23601145635678608,0.34214876033057845,0.5016038922456034,0.6884543486816215,0.6377060204711837,72.81818181818181,0.597832969107572,110.0,646.0,,,,,,,,,,
590,yannick hanfmann,R,193.0,8.0,6.0,0.4085135256075514,0.32495039682539684,0.5565476190476191,0.5471230158730158,0.84375,0.6066566328408434,42.375,0.6543395033758812,99.0,728.0,,,,,,,,,,
591,jozef kovalik,R,183.0,5.0,1.0,0.3059455469903231,0.12923444976076554,0.5033333333333333,0.5594155844155844,0.6874906964380649,0.49820549097178884,64.8,0.5708910941074538,131.0,498.0,,,,,,,,,,
592,mackenzie mcdonald,R,178.0,9.0,2.0,0.35647689409358674,0.18065375982042647,0.33341350008016674,0.42669753086419754,0.7068550410941715,0.6547935991591579,47.44444444444444,0.6033859187185224,193.0,335.0,147.1,0.289,0.512,0.21899999999999997,0.451,167.1,0.52,0.451,0.2,0.5
594,hubert hurkacz,R,196.0,28.0,15.0,0.37221319477521053,0.23363670431311304,0.42235443128300265,0.5130308183879612,0.788654906743606,0.5882754841296141,73.60714285714286,0.6310753529082083,34.0,1518.0,142.1,0.28300000000000003,0.506,0.221,0.41100000000000003,201.8,0.607,0.41100000000000003,0.5,0.5
595,ilya ivashka,R,193.0,5.0,2.0,0.3333897486935986,0.12,0.15555555555555553,0.49428571428571433,0.7929545454545455,0.7399050593618682,41.2,0.648478876147783,108.0,674.0,,,,,,,,,,
596,ugo humbert,L,188.0,36.0,24.0,0.3608954142747639,0.2227667462348835,0.37869161974554133,0.5698494338812965,0.8432314803025589,0.628184424660986,63.69444444444444,0.6756181764720344,30.0,1646.0,132.0,0.28800000000000003,0.48100000000000004,0.2,0.35100000000000003,233.4,0.6829999999999999,0.35100000000000003,0.6,0.7
598,reilly opelka,R,211.0,20.0,12.0,0.27964621947177687,0.1343256436116343,0.4085119047619047,0.5825793650793651,0.9132251776001776,0.6458997903294639,88.25,0.7138073109606022,39.0,1402.0,,,,,,,,,,
599,cristian garin,R,185.0,30.0,18.0,0.3851522346530855,0.2714218693118949,0.3925727513227513,0.4877243889008595,0.7398850195112817,0.6151114542764022,74.36666666666666,0.6170041494955069,22.0,2170.0,149.3,0.31,0.519,0.261,0.40299999999999997,225.1,0.556,0.40299999999999997,0.6920000000000001,0.6
600,juan ignacio londero,R,180.0,19.0,9.0,0.364385539483062,0.2208151847550892,0.4112857902331587,0.5246666817874249,0.7733703912186884,0.6012090224193308,104.26315789473684,0.6424730627235599,79.0,832.0,,,,,,,,,,
601,lloyd harris,R,193.0,24.0,12.0,0.3407802987564477,0.17640196974078556,0.4133507696007696,0.5001458032708033,0.7813197919283446,0.6691706235762872,61.041666666666664,0.6510030879915397,87.0,793.0,,,,,,,,,,
602,pedro sousa,R,180.0,2.0,1.0,0.30938852813852813,0.13636363636363635,0.21428571428571427,0.5,0.7215909090909092,0.5943562610229276,68.5,0.5943562610229276,105.0,691.0,,,,,,,,,,
603,hugo dellien,R,180.0,11.0,4.0,0.39315688623072825,0.22960385574021938,0.36662075298438934,0.5419668715123261,0.6304381892617187,0.7392143214780361,174.54545454545453,0.5639907812293942,111.0,638.0,,,,,,,,,,
604,felix auger aliassime,R,193.0,42.0,23.0,0.3625229457117302,0.21077018802859135,0.3351522155093584,0.5636401297115585,0.81678047287291,0.6356501663743688,72.95238095238095,0.6602347620841714,21.0,2216.0,,,,,,,,,,
605,prajnesh gunneswaran,L,188.0,2.0,0.0,0.3182957393483709,0.14545454545454545,0.30952380952380953,0.65,0.6777777777777778,0.6672628012048193,92.0,0.5590173192771084,129.0,506.0,,,,,,,,,,
