,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
120,younes el aynaoui,R,193.0,41.0,14.0,0.35747002793961313,0.1822201386546701,0.30524495829373877,0.5913725840555109,0.7467607791580836,0.5899473975915508,127.82926829268293,0.6012482114285514,160.2,60.1%,31.3%,25.0%,43.8%,51.0
121,slava dosedel,R,183.0,57.0,36.0,0.44616321522889113,0.373782376607454,0.49028369291527185,0.5293850284562359,0.6792649601860129,0.6856653990389092,95.71929824561404,0.5808561366246899,228.9,56.2%,47.2%,72.2%,53.3%,68.0
122,byron black,R,175.0,44.0,21.0,0.3742818654899375,0.2242868298516694,0.41437426952132833,0.5654531390326846,0.700428072889419,0.5792614980547772,88.13636363636364,0.5956684886884966,213.3,58.2%,38.4%,66.7%,50.0%,84.0
123,andrea gaudenzi,R,183.0,64.0,35.0,0.40686373025520295,0.28464985676249704,0.3782879749120107,0.5515552895837823,0.7438985208413663,0.6647978501909656,82.125,0.6062039954624258,227.2,59.5%,39.2%,72.2%,56.3%,60.0
124,patrick rafter,R,185.0,65.0,41.0,0.3480600173778945,0.17956791072175685,0.3748324752170905,0.5867850148845623,0.8208814734523235,0.5949012333828736,82.66153846153846,0.6536735594152191,231.5,64.5%,35.8%,59.3%,71.9%,66.0
126,alex antonitsch,R,188.0,29.0,9.0,0.36890000579281346,0.2237025257816333,0.40763341909386536,0.5972035739784217,0.6634033506498009,0.5422707123375132,64.34482758620689,0.5807032886089624,174.7,60.0%,43.5%,25.0%,46.2%,90.0
127,greg rusedski,L,193.0,49.0,21.0,0.3433610675619879,0.1564635718107633,0.3067921307717226,0.5472750560693632,0.8436521612518324,0.5633500002311193,77.28571428571429,0.6680678640555688,178.3,64.5%,31.6%,38.1%,44.1%,50.0
128,fernando meligeni,L,180.0,29.0,12.0,0.37886810614070876,0.2650472921263996,0.405179686214169,0.4141979780417915,0.7360813994434685,0.5661826705427573,73.03448275862068,0.6138309524906075,131.9,53.5%,45.1%,33.3%,0.0%,99.0
129,jonas bjorkman,R,183.0,55.0,30.0,0.41592405571747243,0.3016328127636085,0.38356617832553647,0.5695991441713367,0.7307695073003508,0.5470225712333023,111.87272727272727,0.6070406583617626,222.4,60.9%,39.3%,61.1%,61.1%,96.0
130,david rikl,L,178.0,46.0,18.0,0.3505245926642076,0.2136392859059099,0.3787596159878769,0.5444063056191204,0.7099506471789081,0.5679107074971604,80.56521739130434,0.5896645732603284,166.2,59.1%,39.2%,38.5%,29.4%,95.0
