,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points
21,marcos ondruska,R,183.0,25.0,10.0,0.35755628670082934,0.1985085731262202,0.4038193277310924,0.5300912551500787,0.6641702310761133,0.5646493739210218,69.48,0.5645573816225979,113.0,437.0
22,sergi bruguera,R,188.0,69.0,44.0,0.4010554997214542,0.3202928654654998,0.48335239639587463,0.5545206202814899,0.7832168226248857,0.5836555408302608,58.869565217391305,0.6383010953143909,8.0,2367.0
24,karsten braasch,L,180.0,3.0,2.0,0.3392790784095132,0.1357142857142857,0.25811965811965815,0.6990740740740741,0.8307692307692308,0.6736319236319237,34.333333333333336,0.7076430513930513,200.0,214.0
25,gianluca pozzi,L,180.0,5.0,2.0,0.3582022858736197,0.20862745098039218,0.2744047619047619,0.36666666666666664,0.6043650793650794,0.4064258922768745,55.8,0.58121822892981,101.0,483.0
26,diego nargiso,L,188.0,4.0,1.0,0.2962231139964082,0.06666666666666668,0.16666666666666666,0.7196428571428573,0.7694444444444446,0.5478128891656289,15.0,0.5989783475656764,152.0,302.0
27,jan siemerink,L,183.0,45.0,18.0,0.3424473821454293,0.1709856187780164,0.40034410034410023,0.6288574080240746,0.7817406770184546,0.5630141885457065,87.91111111111111,0.62679299433123,78.0,622.0
28,boris becker,R,190.0,27.0,17.0,0.39302680653513594,0.27047335380668713,0.4433915878360323,0.5552028218694885,0.8484331373056864,0.5266819017490381,58.148148148148145,0.6756801798242611,62.0,715.0
29,thierry champion,R,183.0,13.0,1.0,0.3458396659027877,0.15965544008530436,0.3583416583416584,0.48866607248960187,0.5612082110950889,0.6408920298538483,51.30769230769231,0.5332042906878443,279.0,137.0
30,javier sanchez,R,178.0,66.0,34.0,0.38500738830019066,0.2685201987763203,0.48671313460751975,0.5438508758027475,0.7167712548394363,0.6514176778042691,99.72727272727273,0.6044668370638778,54.0,776.0
31,marc rosset,R,201.0,59.0,31.0,0.3725967797070638,0.2089986854259825,0.3745468749706037,0.5411421192079217,0.7686289029168285,0.5520120123065055,74.72881355932203,0.6296615151318845,31.0,1222.0
32,andrei cherkasov,R,180.0,6.0,1.0,0.3619050668611333,0.23650793650793653,0.44246031746031744,0.4476037851037851,0.5913887525729632,0.5473573510570279,43.833333333333336,0.5276064596903834,164.0,281.0
33,gilbert schaller,R,180.0,28.0,12.0,0.4174160657939852,0.302498739436993,0.3651157770800628,0.5567106643704387,0.65312159499454,0.774058912202132,102.46428571428571,0.5681169931416458,97.0,504.0
35,tomas carbonell,R,178.0,21.0,8.0,0.4148936185494564,0.32831236224093374,0.5595238095238095,0.493512774185043,0.6874371660085946,0.6494848666371661,86.80952380952381,0.5921270997540868,170.0,264.0
37,goran ivanisevic,L,193.0,68.0,47.0,0.3503672399195571,0.19749801380856735,0.39590205546087887,0.5835821857880682,0.8668139036720576,0.5403229462200524,67.3529411764706,0.6855568320852745,15.0,2176.0
39,henrik holm,R,183.0,4.0,1.0,0.33498364825581395,0.12276785714285715,0.2403846153846154,0.4571428571428572,0.7174369747899159,0.5230547935221406,46.75,0.6096191245600787,161.0,282.0
40,richey reneberg,R,180.0,37.0,17.0,0.3673902119929004,0.20609750389162154,0.34337599337599345,0.5230051480051481,0.7611621107784794,0.5708781980259946,67.37837837837837,0.6212918809131328,73.0,654.0
42,fabrice santoro,R,178.0,54.0,31.0,0.4033773308716691,0.28274864538753425,0.3950394769839214,0.5448260163946438,0.765777446047054,0.5099562480885069,71.72222222222223,0.622924077654612,29.0,1267.0
43,guillaume raoux,R,180.0,47.0,23.0,0.3486420087753716,0.18575468505544135,0.36945513115725875,0.5226067667557032,0.8126595878851989,0.5512191704139855,97.29787234042553,0.6500377343279604,47.0,861.0
44,rodolphe gilbert,L,183.0,3.0,1.0,0.3567122994384448,0.17855477855477853,0.41111111111111115,0.5868945868945868,0.707936507936508,0.6135387935036193,31.666666666666668,0.5823285685620933,201.0,214.0
45,jeff tarango,L,180.0,54.0,27.0,0.3928687990351803,0.2686284137673026,0.41496481762004617,0.47931616791265913,0.76593749962214,0.6234045441019815,99.96296296296296,0.623696707528886,49.0,843.0
46,paul haarhuis,R,188.0,44.0,18.0,0.375562893396846,0.23582266585006917,0.4670216147488875,0.5886779571438663,0.7700001387501388,0.5880278630029104,63.65909090909091,0.6248192514029731,70.0,666.0
