,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
360,robin vik,R,183.0,,39.0,12.0,0.3850657089629314,0.26551195243502934,0.4881976899218279,0.5353549027462071,0.6516624401239787,0.6219791816478811,85.07692307692308,0.5701974432730408,191.9,52.8%,46.4%,23.5%,69.2%
361,guillermo garcia lopez,R,188.0,,32.0,13.0,0.3761648766666274,0.2201277710239107,0.375657242063492,0.5228213116540321,0.7014004275952807,0.6081116518408152,79.5625,0.5914462420698383,,,,,
362,lukas dlouhy,R,185.0,,28.0,7.0,0.3613981531069488,0.1922476832128679,0.4592937816152102,0.5460634256769816,0.6960564380000881,0.6324449384573901,74.28571428571429,0.5896609306753398,,,,,
363,jerome haehnel,R,185.0,,1.0,0.0,0.3939393939393939,0.25,0.4,0.16666666666666666,0.6666666666666666,0.59375,35.0,0.5625,,,,,
364,janko tipsarevic,R,180.0,,19.0,5.0,0.33676758579583654,0.13086431112746907,0.3466791979949875,0.5143029141481155,0.7420451221667649,0.5772494221457346,48.578947368421055,0.6207704294076956,,,,,
365,marcos baghdatis,R,183.0,,53.0,33.0,0.401878893217739,0.28085301405071955,0.4355204759477789,0.5096462884753673,0.7778819803003967,0.5252063185519833,88.54716981132076,0.6280635969516758,227.2,59.1%,42.3%,55.0%,70.8%
366,razvan sabau,R,185.0,,10.0,2.0,0.30789328581124253,0.16528693528693528,0.5149999999999999,0.5787361005008064,0.567469474969475,0.5976673516490102,54.9,0.5253264363348988,,,,,
367,stan wawrinka,R,183.0,,54.0,31.0,0.37440383170492103,0.23645775164855923,0.40429485637818957,0.5602501137588858,0.7813293156231305,0.554599179851373,49.648148148148145,0.6259755346436642,209.1,61.0%,40.9%,73.9%,33.3%
368,alessio di mauro,L,185.0,,21.0,6.0,0.34846120900656874,0.19744624345464684,0.4398526077097505,0.4589035964035964,0.6026338740624454,0.577755561662378,81.33333333333333,0.5427856553785807,,,,,
369,andreas seppi,R,190.0,,46.0,18.0,0.3691220947071606,0.2146495076454489,0.3710253877175372,0.5588135294657034,0.6878851874078791,0.554508089665995,91.3913043478261,0.5845159243903224,191.5,57.1%,41.3%,56.3%,36.8%
