,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
126,alex antonitsch,R,188.0,18.0,5.0,0.35863411059900163,0.2042354160001219,0.35254637337970673,0.6457231040564374,0.7519463074287637,0.56610319743489,122.77777777777777,0.6046676209135026,131.4,27.6%,47.1%,19.5%,37.2%,181.3,66.8%,37.2%,58.3%,19.0%,
127,greg rusedski,L,193.0,18.0,11.0,0.32345434777299675,0.14691849584219577,0.4145282186948853,0.5996693121693122,0.8812806058596767,0.5673705144919778,45.0,0.6927322335035551,,,,,,,,,,,
128,fernando meligeni,L,180.0,7.0,2.0,0.39359461708874444,0.24701880752300923,0.3381784881784882,0.5117869875222817,0.6487144857943178,0.5556032464867812,54.42857142857143,0.5580565714556212,,,,,,,,,,,
129,jonas bjorkman,R,183.0,8.0,1.0,0.3641672085965564,0.21187996031746031,0.375,0.44484126984126976,0.5737914862914862,0.5309504862895805,39.125,0.5390651783147277,,,,,,,,,,,
130,david rikl,L,178.0,13.0,3.0,0.3512885194773255,0.1810725599187138,0.3695311099157253,0.5656621156621158,0.6156577962007825,0.5536522531882542,53.92307692307692,0.5376402440916617,,,,,,,,,,,
131,yevgeny kafelnikov,R,190.0,12.0,5.0,0.36786491471746263,0.23183704911646086,0.5399801587301587,0.3679894179894179,0.7322195165945166,0.5417484154201856,28.083333333333332,0.6035640702438588,,,,,,,,,,,
132,jared palmer,R,190.0,17.0,6.0,0.37071525077076395,0.21888866708070862,0.42133944486885655,0.5164214870097223,0.7445695336958315,0.6042384323830561,50.76470588235294,0.6139973984935702,,,,,,,,,,,
134,jean philippe fleurian,R,185.0,3.0,0.0,0.3298611111111111,0.11904761904761903,0.2148148148148148,0.5586820586820587,0.5873015873015873,0.6609033879321322,94.66666666666667,0.5554882057758824,,,,,,,,,,,
135,steve bryan,R,178.0,13.0,5.0,0.36957627558134337,0.2058648616340924,0.37762515262515267,0.5820512820512821,0.7118772253387639,0.6552642515905484,37.53846153846154,0.5935665650931438,,,,,,,,,,,
136,hendrik dreekmann,R,188.0,5.0,2.0,0.3466670453507035,0.19738496797320326,0.4333333333333333,0.6483766233766234,0.7822354116471762,0.4737593887593888,48.6,0.6165125615125615,,,,,,,,,,,
137,markus zoecke,R,196.0,15.0,3.0,0.31429401823356534,0.12558921470686174,0.27341269841269844,0.6103451178451178,0.7710030274736158,0.6205647885610234,53.666666666666664,0.6229442881456069,,,,,,,,,,,
138,joern renzenbrink,R,196.0,13.0,3.0,0.32703957324139854,0.12800788954635106,0.2861111111111111,0.5367687867687868,0.6550483704329858,0.5364933675792607,45.30769230769231,0.5650347745722388,,,,,,,,,,,
139,karim alami,R,185.0,3.0,1.0,0.40745469220045494,0.35000000000000003,0.43915343915343913,0.4515151515151515,0.5227272727272728,0.5326797385620915,72.66666666666667,0.5124183006535947,,,,,,,,,,,
140,albert costa,R,180.0,3.0,1.0,0.4397572362278244,0.3131313131313131,0.2830634278002699,0.5764705882352942,0.626388888888889,0.8234175084175085,62.0,0.5461279461279461,,,,,,,,,,,
141,mauricio hadad,R,170.0,6.0,1.0,0.33155091656092733,0.15933048433048433,0.3353174603174603,0.42658730158730157,0.5959401709401709,0.59922968637231,45.166666666666664,0.5147540538101125,,,,,,,,,,,
142,jan apell,L,183.0,6.0,0.0,0.32133877039193187,0.11842105263157893,0.17870370370370373,0.4118686868686869,0.6677387914230019,0.624692357265245,36.833333333333336,0.5883194156181546,,,,,,,,,,,
143,mark petchey,R,183.0,2.0,0.0,0.3008989952406135,0.09999999999999998,0.29166666666666663,0.625,0.6833333333333333,0.6580200501253133,58.5,0.5894736842105264,,,,,,,,,,,
144,karol kucera,R,188.0,3.0,1.0,0.35329588458258604,0.2518518518518518,0.375,0.44841269841269843,0.6666666666666666,0.440074659639877,49.333333333333336,0.6119016249451033,,,,,,,,,,,
145,nicolas pereira,R,188.0,9.0,2.0,0.3119229243568285,0.1509920634920635,0.30920005920005916,0.5036475869809203,0.7050938894076149,0.5858652014696204,49.22222222222222,0.5989379815822318,,,,,,,,,,,
146,oliver gross,R,185.0,1.0,0.0,0.42528735632183906,0.375,0.6666666666666666,0.5333333333333333,0.5625,0.4387755102040816,94.0,0.5204081632653061,,,,,,,,,,,
147,lionel roux,R,185.0,3.0,0.0,0.28090555609113405,0.07407407407407407,0.3333333333333333,0.3148148148148148,0.3452380952380952,0.5081967213114754,54.666666666666664,0.43429663707639476,,,,,,,,,,,
148,vincent spadea,R,183.0,3.0,0.0,0.36251425208724114,0.2288888888888889,0.40432098765432095,0.5749604189501887,0.5833333333333334,0.5140231159481077,24.0,0.5368193262650615,,,,,,,,,,,
150,alexander mronz,R,188.0,3.0,1.0,0.3413406543125143,0.20833333333333334,0.2380952380952381,0.5654761904761905,0.700925925925926,0.5169082125603864,41.333333333333336,0.5983091787439614,,,,,,,,,,,
151,christian ruud,R,188.0,2.0,0.0,0.397680690399137,0.30995475113122173,0.3939393939393939,0.41666666666666663,0.6514423076923077,0.6895238095238095,24.0,0.5704761904761906,,,,,,,,,,,
152,cristiano caratti,R,178.0,4.0,1.0,0.3280566815666144,0.17805555555555555,0.35,0.6259469696969697,0.5224358974358975,0.6978819034214528,51.25,0.5239863714850619,,,,,,,,,,,
156,sebastien lareau,R,183.0,4.0,2.0,0.36557209088173886,0.20625,0.4013888888888889,0.425,0.6645299145299145,0.44810999005452484,32.25,0.5588707367537882,,,,,,,,,,,
158,michael tebbutt,L,190.0,6.0,1.0,0.3159524228152844,0.06302521008403363,0.1714285714285714,0.34722222222222215,0.7839833369245133,0.48009720823996793,32.166666666666664,0.6231448231637885,,,,,,,,,,,
159,bohdan ulihrach,R,188.0,1.0,0.0,0.3018867924528302,0.11111111111111116,0.3333333333333333,0.16666666666666666,0.5,0.41935483870967744,53.0,0.5,,,,,,,,,,,
160,mats wilander,R,183.0,7.0,2.0,0.3426536208025294,0.15594601476954417,0.27365491651205937,0.59067242281528,0.6952754435107374,0.6457205526875863,46.857142857142854,0.5846270130153453,,,,,,,,,,,
161,tommy ho,L,183.0,12.0,3.0,0.34104613313397086,0.18292124542124544,0.30550595238095235,0.6235119047619048,0.7044124856624855,0.6081311442660678,48.416666666666664,0.5872972162465363,,,,,,,,,,,
163,frederik fetterlein,R,190.0,2.0,0.0,0.3148962148962149,0.12916666666666665,0.5,0.5208333333333333,0.5875,0.5140384615384616,30.5,0.5376923076923077,,,,,,,,,,,
165,michael joyce,R,180.0,3.0,1.0,0.36544688797504815,0.2833333333333333,0.6515151515151515,0.3333333333333333,0.6388888888888888,0.550332383665717,63.666666666666664,0.5541310541310541,,,,,,,,,,,
170,jiri novak,R,190.0,1.0,0.0,0.2962962962962963,0.0,0.0,0.5,0.42857142857142855,0.5853658536585366,5.0,0.5121951219512195,,,,,,,,,,,
171,nuno marques,L,190.0,1.0,0.0,0.2,0.0,0.0,0.6666666666666666,0.7777777777777778,0.6181818181818182,54.0,0.6,,,,,,,,,,,
