,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
298,feliciano lopez,L,188.0,42.0,50.0,30.0,0.3393875636162011,0.17545506208617664,0.37637454212454224,0.6216712614870511,0.8304102183162553,0.5904111244326726,68.82,0.6650347265660944,125.8,27.5%,45.1%,17.1%,36.1%,221.2,64.3%,36.1%,62.5%,58.3%
306,paul henri mathieu,R,185.0,58.0,25.0,6.0,0.30979984015333245,0.13814135622831272,0.3196190476190476,0.5164603174603175,0.7164084553128032,0.5436535089486343,56.16,0.5969906968185383,,,,,,,,,,
307,jurgen melzer,L,183.0,29.0,45.0,23.0,0.35949274775709766,0.21108074246206338,0.3289303597636931,0.5603947157455931,0.7519684636351304,0.6498057767587253,83.37777777777778,0.6098143584032375,135.0,29.5%,48.4%,21.0%,36.1%,203.3,60.4%,36.1%,64.7%,42.1%
309,david ferrer,R,175.0,5.0,82.0,58.0,0.4252890174054941,0.34154600036448196,0.4225168846440462,0.5582612847856749,0.7851468601959424,0.6285517672458675,48.36585365853659,0.6412058311264459,165.5,34.1%,56.2%,33.0%,42.2%,227.7,57.0%,42.2%,71.4%,57.1%
313,radek stepanek,R,185.0,34.0,29.0,14.0,0.3930580665820875,0.2696643873368011,0.4409130141888763,0.5542321663011319,0.7469604629087389,0.6347918843135005,68.13793103448276,0.618974811694252,147.2,30.0%,52.1%,25.6%,39.5%,181.8,57.9%,39.5%,57.1%,27.3%
315,mardy fish,R,188.0,27.0,9.0,4.0,0.37209436150489195,0.24153439153439157,0.39444444444444443,0.44985754985754983,0.738100788100788,0.4961619449477516,64.22222222222223,0.6118117143427982,,,,,,,,,,
326,rafael nadal,L,185.0,4.0,86.0,79.0,0.43091995820029844,0.36500514136413054,0.4827298670321926,0.6425142202758483,0.8834597162217042,0.6941300554305221,40.33720930232558,0.6877417252204797,169.6,34.8%,54.2%,33.8%,46.8%,281.5,69.4%,46.8%,93.3%,72.0%
327,filippo volandri,R,183.0,87.0,15.0,4.0,0.3881353610475846,0.28284615166968113,0.4279673932305511,0.5355662855662856,0.6817087542087541,0.7105232486513807,52.06666666666667,0.5818332620391886,,,,,,,,,,
328,ruben ramirez hidalgo,R,183.0,90.0,5.0,1.0,0.2966358454844721,0.11416666666666667,0.31666666666666665,0.7782828282828282,0.8280555555555555,0.5393947138133185,78.0,0.635647617316564,,,,,,,,,,
329,victor hanescu,R,198.0,61.0,44.0,20.0,0.35084549389451014,0.1851692990492948,0.37700784064420423,0.5260785615899253,0.7993455538074522,0.7073145430715237,63.31818181818182,0.6395387841824375,122.1,27.5%,45.4%,16.8%,32.4%,162.4,59.5%,32.4%,25.0%,45.5%
