,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
93,andre agassi,R,180.0,65.0,53.0,0.42800308635561113,0.33605564887187306,0.4657810264145106,0.4984544942237252,0.8765374538461295,0.6271845563853659,55.66153846153846,0.6877485369857474,2.0,222.2,0.634,0.424,0.846,0.318
96,renzo furlan,R,175.0,2.0,0.0,0.28120516499282644,0.08333333333333331,0.5833333333333334,0.41428571428571426,0.7166666666666666,0.5355734223300971,29.5,0.6183252427184466,53.0,,,,,
98,francisco clavet,L,183.0,32.0,10.0,0.38736046124219975,0.22650608939671443,0.37192880903818404,0.49341692315037905,0.6948476606424978,0.6692045008468053,59.40625,0.5980105044830413,50.0,178.9,0.5710000000000001,0.385,0.33299999999999996,0.5
100,alex corretja,R,180.0,54.0,36.0,0.42038834230072,0.3226768223113253,0.4488222268850924,0.5840133692257875,0.8009791421964623,0.5705474663168277,85.31481481481481,0.642150759354712,19.0,202.1,0.598,0.414,0.43799999999999994,0.5710000000000001
120,younes el aynaoui,R,193.0,65.0,39.0,0.3647557214737451,0.19956717111370903,0.40837455616807833,0.5996296463717278,0.833870522150133,0.6409308142672521,63.43076923076923,0.6669941141770132,22.0,218.2,0.623,0.377,0.63,0.552
123,andrea gaudenzi,R,183.0,35.0,10.0,0.3600949922695824,0.19054695233723365,0.3774407338693052,0.5085288567641509,0.6885791074469613,0.5295626444892274,66.34285714285714,0.5877048258301649,52.0,181.4,0.5589999999999999,0.42200000000000004,0.5,0.33299999999999996
127,greg rusedski,L,193.0,45.0,30.0,0.3381139575559389,0.17702170772929512,0.34565274231940896,0.6107439474106143,0.885701835562367,0.6037048022596193,59.48888888888889,0.7035811511265148,31.0,223.4,0.6779999999999999,0.373,0.667,0.516
128,fernando meligeni,L,180.0,41.0,19.0,0.38046924171635205,0.23927753546227132,0.4604206400998553,0.5942411924119243,0.7407125262689236,0.5808564733527215,75.58536585365853,0.6160739562238126,74.0,196.3,0.622,0.405,0.636,0.3
129,jonas bjorkman,R,183.0,40.0,19.0,0.38673388969600875,0.24543262293262297,0.40323450854700854,0.5121341726084373,0.7680550196707319,0.5756409874465472,46.8,0.6300330978162767,48.0,186.7,0.597,0.35,0.35700000000000004,0.563
131,yevgeny kafelnikov,R,190.0,59.0,34.0,0.3763269430898066,0.23276289653376922,0.4399029642673711,0.5738040678718646,0.7791917177759649,0.5355236919222608,70.33898305084746,0.6368576934824579,27.0,219.5,0.622,0.426,0.647,0.5
140,albert costa,R,180.0,59.0,36.0,0.37581099955579944,0.24636442889038543,0.3879857375370834,0.53194639263997,0.780779892092257,0.6314563325732382,62.74576271186441,0.6377562224039474,9.0,218.1,0.5760000000000001,0.397,0.684,0.524
144,karol kucera,R,188.0,34.0,19.0,0.3936646060857467,0.2603783675941772,0.5469744716068246,0.49504596710479054,0.6713197427787212,0.5896674055927777,60.61764705882353,0.580889306975732,83.0,231.4,0.535,0.42700000000000005,0.769,0.583
148,vincent spadea,R,183.0,31.0,13.0,0.37762292164487415,0.2259105619589491,0.3791472864053508,0.5089403428113105,0.7287592167478317,0.5535907346091294,92.41935483870968,0.6097375167753017,67.0,,,,,
154,marcelo rios,L,175.0,49.0,31.0,0.3834287018064687,0.2619141595117569,0.4876146429267679,0.570537612314323,0.7965916247487571,0.6082733666041259,65.6938775510204,0.6306784694796723,24.0,222.6,0.642,0.446,0.5379999999999999,0.6
159,bohdan ulihrach,R,188.0,44.0,18.0,0.3650631365601194,0.22614330331806817,0.3728579649702644,0.5807577838827839,0.7360100609432162,0.628951903800514,67.79545454545455,0.6040058301752641,75.0,179.9,0.59,0.397,0.41200000000000003,0.4
162,sjeng schalken,R,193.0,60.0,34.0,0.38935432294102845,0.2536091202776939,0.3928478882658448,0.5381633489966824,0.7836335697596186,0.6676254830049929,60.55,0.6374893517890954,20.0,207.4,0.583,0.39399999999999996,0.611,0.486
166,adrian voinea,R,185.0,40.0,19.0,0.3705778306924918,0.23164451605867842,0.381322496947497,0.5408630288793332,0.7178577790614238,0.547179636971003,79.55,0.6035100744578425,68.0,212.3,0.5670000000000001,0.385,0.615,0.556
168,mark philippoussis,R,196.0,23.0,10.0,0.34411181045705996,0.17407644217107135,0.4284679089026916,0.5661961227178619,0.8188075566541713,0.5563466238728159,51.608695652173914,0.6535813325308476,80.0,,,,,
170,jiri novak,R,190.0,73.0,48.0,0.41594250101343044,0.3283140600469994,0.43001402416188883,0.5651287449232656,0.8087823363369765,0.6556980657205629,60.87671232876713,0.6404713621912341,7.0,214.5,0.62,0.469,0.667,0.389
172,carlos moya,R,190.0,78.0,57.0,0.39424423109358525,0.2683339289334764,0.3929714787761346,0.5416335978835978,0.8353531000589823,0.6057535095220243,54.782051282051285,0.6614670196558752,5.0,245.6,0.649,0.382,0.741,0.684
176,jerome golmard,L,188.0,22.0,12.0,0.34481288616099137,0.1888652568465403,0.3414469369014823,0.47407869907869915,0.8295246494444354,0.6040553071538519,72.0909090909091,0.6732812950875513,99.0,,,,,
179,tim henman,R,185.0,59.0,41.0,0.41189140173168837,0.31436625975692983,0.4658068031447891,0.5699444288984878,0.7976088188280556,0.6292970582296807,74.30508474576271,0.637183976558656,8.0,212.3,0.633,0.43700000000000006,0.591,0.462
180,felix mantilla,R,180.0,47.0,22.0,0.3924062103404512,0.25907407847332753,0.41938061938061927,0.5340558377792418,0.7017599421854742,0.6081817019886384,58.808510638297875,0.5987983095910656,55.0,189.1,0.5820000000000001,0.41700000000000004,0.47100000000000003,0.42100000000000004
182,nicolas lapentti,R,188.0,59.0,32.0,0.38085737781751344,0.23771834596111757,0.3568690061461746,0.4707348874269167,0.7628736481606817,0.5969284956562417,79.83050847457628,0.6310782921859137,29.0,205.8,0.535,0.375,0.667,0.48100000000000004
